record_id,redcap_survey_identifier,my_first_instrument_timestamp,specialty,gender,year_practice,male_3mm,male_25mm,male_sym,male_4mm,male_2mm,male_35mm,male_15mm,male_1mm,female_3mm,female_15mm,female_2mm,female_4mm,female_25,female_symm,female_1mm,female_35mm,my_first_instrument_complete
26,,"2018-11-12 07:08:22",2,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,2
27,,"2018-11-12 07:24:15",2,2,3,1,1,0,1,1,1,0,0,1,0,1,1,1,0,1,1,2
28,,"2018-11-12 07:33:28",2,2,2,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,1,2
29,,"2018-11-12 07:34:08",,,,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,2
30,,"[not completed]",2,2,3,1,1,0,,,,,,,,,,,,,,0
31,,"2018-11-12 07:50:05",2,,2,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,2
32,,"2018-11-12 07:46:30",2,1,5,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,2
33,,"2018-11-12 08:10:04",2,2,2,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,2
34,,"2018-11-12 08:23:29",2,1,2,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,2
35,,"2018-11-12 08:27:31",2,1,5,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,2
36,,"2018-11-12 08:33:08",2,1,5,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2
37,,"2018-11-12 08:32:08",,,,,,,,,,,,,,,,,,,,2
38,,"2018-11-12 08:34:22",2,1,5,1,1,0,1,0,1,0,0,1,0,1,1,1,0,0,1,2
39,,"2018-11-12 08:33:58",2,2,2,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1,2
40,,"2018-11-12 08:36:58",2,1,3,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,1,2
41,,"2018-11-12 08:48:02",2,2,3,1,1,0,1,1,1,0,0,0,1,1,0,1,0,0,1,2
42,,"[not completed]",2,1,4,1,1,0,1,1,1,1,0,1,1,1,1,0,,,,0
43,,"[not completed]",2,1,4,0,0,0,0,0,,,,,,,,,,,,0
44,,"2018-11-12 09:00:44",2,1,2,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,2
45,,"2018-11-12 09:04:14",2,1,2,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,2
46,,"2018-11-12 09:18:48",2,1,3,1,1,0,1,1,1,0,0,1,1,1,1,1,0,0,1,2
47,,"2018-11-12 09:31:31",2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,2
48,,"2018-11-12 09:43:09",2,2,1,1,1,0,1,0,1,0,0,1,0,1,1,1,0,0,1,2
49,,"2018-11-12 09:45:29",2,2,2,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,2
50,,"2018-11-12 09:57:31",2,1,5,1,1,0,1,1,1,1,0,1,0,1,1,1,0,0,1,2
51,,"2018-11-12 09:57:38",2,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,2
52,,"2018-11-12 09:59:37",2,2,1,1,1,0,1,1,1,1,0,1,0,1,1,1,0,0,1,2
53,,"2018-11-12 10:08:35",2,1,3,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,2
54,,"[not completed]",2,2,1,0,0,,,,,,,,,,,,,,,0
55,,"[not completed]",2,2,1,0,,,,,,,,,,,,,,,,0
56,,"2018-11-12 10:08:14",2,2,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,2
57,,"2018-11-12 10:18:15",2,2,1,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1,2
58,,"2018-11-12 10:39:11",2,1,5,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,2
59,,"2018-11-12 10:58:32",2,2,5,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,2
60,,"2018-11-12 11:23:03",2,2,5,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,,2
61,,"[not completed]",2,1,4,,0,0,1,1,,,,,,,,,,,,0
62,,"2018-11-12 11:53:48",2,1,5,1,1,0,1,1,1,0,0,1,0,0,1,1,0,0,1,2
63,,"2018-11-12 12:29:15",2,2,2,1,1,0,1,1,1,1,0,1,0,1,1,1,0,0,1,2
64,,"2018-11-12 12:31:56",2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,2
65,,"[not completed]",2,1,5,0,0,,,,,,,,,,,,,,,0
66,,"2018-11-12 12:59:49",2,1,5,1,1,0,1,1,1,0,0,1,0,1,1,0,0,0,1,2
67,,"2018-11-12 13:13:27",2,2,1,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1,2
68,,"2018-11-12 13:23:15",2,2,5,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,2
69,,"2018-11-12 13:31:44",2,1,5,1,1,0,1,1,1,1,0,1,0,1,1,1,0,0,1,2
70,,"2018-11-12 14:00:45",2,1,5,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,2
71,,"[not completed]",,,,,,,,,,,,,,,,,,,,0
72,,"2018-11-12 15:45:31",2,1,2,0,1,0,1,1,1,0,0,1,0,1,1,0,0,0,1,2
73,,"2018-11-12 15:51:30",2,1,1,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,1,2
74,,"2018-11-12 16:12:51",2,1,2,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,2
75,,"2018-11-12 16:32:23",2,2,2,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,2
76,,"2018-11-12 17:09:15",2,1,5,0,1,0,1,1,1,1,0,1,0,1,1,1,0,0,1,2
77,,"2018-11-12 17:10:28",2,1,5,1,1,0,1,1,1,0,0,1,1,1,1,1,0,0,1,2
78,,"2018-11-12 17:19:06",2,2,1,1,1,0,1,1,1,1,0,1,0,1,1,1,0,0,1,2
79,,"[not completed]",2,2,3,1,1,0,1,1,1,1,1,1,,,,,,,,0
80,,"2018-11-12 19:46:15",2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
81,,"2018-11-12 19:49:02",2,2,5,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,2
82,,"2018-11-12 20:11:14",2,1,5,1,1,0,1,1,1,0,0,1,1,1,1,1,0,0,1,2
83,,"2018-11-12 20:19:54",2,1,5,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1,2
84,,"2018-11-12 20:32:53",2,1,2,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,2
85,,"2018-11-12 21:55:32",2,2,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,2
86,,"[not completed]",2,2,5,1,,,,,,,,,,,,,,,,0
87,,"2018-11-12 22:36:16",2,2,5,1,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1,2
88,,"[not completed]",2,2,1,1,1,0,1,1,1,0,0,1,,,,,,,,0
89,,"2018-11-12 23:31:01",2,1,4,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,2
90,,"2018-11-12 23:44:51",2,1,2,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1,2
91,,"2018-11-13 00:13:13",2,1,5,1,1,0,1,1,1,0,0,1,0,0,1,1,0,0,1,2
92,,"[not completed]",2,2,5,1,1,,,,,,,,,,,,,,,0
93,,"2018-11-13 10:43:32",2,2,5,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,2
94,,"2018-11-13 11:37:26",2,1,5,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,2
95,,"[not completed]",2,2,1,0,0,0,1,1,1,1,,,,,,,,,,0
96,,"2018-11-13 13:27:38",2,2,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,2
97,,"2018-11-13 13:40:35",2,1,3,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,2
98,,"2018-11-13 17:41:17",2,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,0,1,2
99,,"2018-11-14 06:53:55",2,1,5,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,2
100,,"2018-11-14 11:30:14",2,2,2,1,1,0,1,1,1,1,0,1,0,1,1,1,0,0,1,2
101,,"2018-11-14 15:17:24",2,1,5,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1,2
102,,"2018-11-14 17:39:26",2,2,5,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,2
103,,"2018-11-14 21:26:20",2,2,5,1,0,0,1,1,1,0,0,1,1,1,1,1,0,0,1,2
104,,"[not completed]",2,2,2,1,,,,,,,,,,,,,,,,0
105,,"2018-11-15 14:31:30",2,2,2,1,1,0,1,1,1,0,0,1,1,1,1,1,0,0,1,2
106,,"2018-11-16 17:42:51",2,2,5,1,1,0,1,1,1,0,0,1,1,1,1,1,0,0,1,2
107,,"2018-11-19 11:45:42",2,2,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,0,1,2
108,,"2018-11-25 12:07:34",2,1,3,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,2
109,,"2018-11-27 07:49:21",2,3,3,1,1,0,1,1,1,1,0,1,1,1,,1,0,0,1,2
110,,"2018-11-27 07:48:23",2,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,0,0,1,2
111,,"2018-11-27 07:53:11",2,1,2,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,2
112,,"[not completed]",2,2,1,0,1,0,1,0,0,0,0,,,,,,,,,0
113,,"2018-11-27 08:03:50",2,1,5,1,1,0,1,1,1,0,0,1,0,0,1,0,1,0,1,2
114,,"2018-11-27 11:06:44",2,1,1,0,1,0,1,1,1,0,0,1,0,1,1,1,0,1,1,2
115,,"[not completed]",,,,,,,,,,,,,,,,,,,,0
116,,"2018-11-27 08:47:39",2,1,5,0,1,0,1,1,,1,1,1,1,1,1,1,1,1,1,2
117,,"2018-11-27 08:55:40",2,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,0,1,2
118,,"2018-11-27 09:10:36",2,2,3,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,2
119,,"2018-11-27 09:17:29",2,2,2,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,2
120,,"2018-11-27 09:48:25",2,2,1,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1,2
121,,"2018-11-27 09:52:46",2,2,4,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,2
122,,"2018-11-27 09:54:43",2,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,2
123,,"[not completed]",2,2,1,1,1,,,,,,,,,,,,,,,0
124,,"[not completed]",2,2,1,,,,,,,,,,,,,,,,,0
125,,"2018-11-27 10:09:06",2,1,5,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,2
126,,"2018-11-27 10:20:00",2,1,5,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1,2
127,,"2018-11-27 10:55:26",2,1,5,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,2
128,,"[not completed]",2,2,3,1,1,0,1,1,1,,,,,,,,,,,0
129,,"2018-11-27 11:04:51",2,2,4,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1,2
130,,"2018-11-27 11:25:13",2,1,5,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1,2
131,,"2018-11-27 11:48:36",2,1,5,1,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1,2
132,,"2018-11-27 11:53:16",2,1,5,1,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,2
133,,"2018-11-27 11:53:55",2,2,1,1,1,0,1,1,1,0,0,1,0,0,1,0,1,0,1,2
134,,"2018-11-27 11:58:56",2,2,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,2
135,,"2018-11-27 12:03:46",2,,4,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,2
136,,"[not completed]",2,2,3,1,0,0,1,0,1,0,0,0,0,1,0,,,,,0
137,,"2018-11-27 13:04:00",2,1,5,1,1,0,1,1,1,0,0,1,1,1,1,1,0,0,1,2
138,,"2018-11-27 13:21:43",2,2,3,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,2
139,,"2018-11-27 14:20:03",2,2,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,2
140,,"2018-11-27 15:34:00",2,2,2,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,2
141,,"2018-11-27 15:49:48",2,2,3,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,2
142,,"2018-11-27 16:17:58",2,1,5,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1,2
143,,"2018-11-27 16:22:14",2,2,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,0,1,2
144,,"2018-11-27 16:55:33",2,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,2
145,,"2018-11-27 18:09:19",2,1,3,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,2
146,,"2018-11-27 18:33:23",2,1,4,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,2
147,,"2018-11-27 18:41:35",2,1,3,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,2
148,,"2018-11-27 18:45:28",2,1,5,1,1,0,1,1,1,1,0,1,0,1,1,1,0,0,1,2
149,,"2018-11-27 19:36:44",2,2,5,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,2
150,,"2018-11-27 19:52:41",2,1,5,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1,2
151,,"[not completed]",2,1,5,0,1,0,1,1,1,0,0,,,,,,,,,0
152,,"2018-11-27 21:47:34",2,1,4,0,1,0,1,0,1,0,0,1,0,1,1,1,0,0,1,2
153,,"2018-11-27 22:57:42",2,2,4,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,2
154,,"[not completed]",2,2,3,0,1,0,1,0,1,0,0,0,0,1,,,,,,0
155,,"2018-11-28 08:39:29",2,2,2,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,2
156,,"2018-11-28 09:09:44",2,1,5,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,2
157,,"2018-11-28 14:01:24",2,1,5,1,0,0,1,0,1,0,0,1,0,1,1,1,0,0,1,2
158,,"2018-11-28 15:59:12",2,2,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,2
159,,"2018-11-28 18:22:01",2,1,5,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,2
160,,"2018-11-28 20:38:18",2,2,5,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,2
161,,"2018-11-29 10:51:53",2,,4,1,1,0,1,1,1,0,0,1,1,1,,1,0,0,1,2
162,,"2018-11-29 15:37:29",2,2,2,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,2
163,,"2018-11-29 23:59:51",2,1,3,1,1,0,1,0,1,0,0,1,1,1,1,1,0,0,1,2
164,,"2018-11-30 09:29:55",2,2,5,1,1,0,1,1,1,0,0,1,0,1,1,1,0,1,1,2
165,,"2018-11-30 13:34:36",2,1,5,1,1,0,1,1,1,1,0,1,0,1,1,1,0,0,1,2
166,,"2018-12-03 08:58:31",2,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,2
167,,"2018-12-03 10:02:03",2,2,1,1,1,0,1,0,1,0,0,1,0,1,1,1,0,0,1,2
168,,"2018-12-03 13:05:51",2,2,4,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,2
169,,"2018-12-03 23:22:31",2,2,3,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1,2
170,,"2018-12-05 10:45:29",1,1,3,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,2
171,,"2018-12-05 11:08:39",1,1,5,0,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1,2
172,,"[not completed]",,,,,,,,,,,,,,,,,,,,0
173,,"2018-12-05 11:38:21",1,1,3,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,2
174,,"2018-12-05 11:50:40",1,2,5,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,0,2
175,,"2018-12-05 12:19:32",1,1,4,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,2
176,,"2018-12-05 13:02:03",1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,2
177,,"2018-12-05 14:13:02",1,1,5,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,2
178,,"2018-12-05 15:52:43",1,2,1,1,,0,1,1,1,0,0,1,1,,1,1,0,1,1,2
179,,"2018-12-05 15:44:48",1,1,2,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,2
180,,"2018-12-05 15:47:04",1,1,2,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,2
181,,"[not completed]",1,2,5,1,1,0,1,1,1,0,0,,,,,,,,,0
182,,"2018-12-05 21:38:12",1,1,2,1,1,0,1,1,1,0,0,1,0,0,1,1,0,0,1,2
183,,"2018-12-06 05:37:44",1,1,2,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,2
184,,"2018-12-07 11:16:15",2,2,4,1,1,0,1,1,1,1,0,1,0,1,1,1,0,1,1,2
185,,"2019-01-13 12:47:03",1,1,5,1,1,0,1,0,1,0,0,1,0,0,1,1,0,0,1,2
186,,"2019-01-24 10:40:55",1,2,3,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,1,2
187,,"2019-01-24 10:52:01",1,1,3,1,1,0,1,1,1,0,0,1,1,1,1,1,0,0,1,2
188,,"2019-01-24 11:58:35",1,2,4,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,1,2
189,,"2019-01-24 12:54:22",1,2,3,1,1,0,1,1,1,1,0,1,1,0,1,1,0,0,1,2
190,,"2019-01-24 13:12:47",1,2,3,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1,2
191,,"[not completed]",1,1,2,0,0,0,0,0,0,,,,,,,,,,,0
192,,"2019-01-24 13:38:30",1,1,5,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1,2
193,,"2019-01-25 07:31:51",1,1,5,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,2
194,,"2019-01-30 07:21:55",1,1,5,1,1,0,1,1,1,1,0,1,0,1,1,1,0,0,1,2
195,,"2019-02-02 07:11:25",1,1,2,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,2
196,,"[not completed]",,,,,,,,,,,,,,,,,,,,0
197,,"2019-02-13 12:45:22",1,1,5,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,2
198,,"[not completed]",1,,,,,,,,,,,,,,,,,,,0
199,,"2019-02-13 13:05:20",1,1,3,1,1,0,1,1,1,0,0,1,0,1,1,0,0,0,1,2
200,,"2019-02-13 13:10:33",1,1,5,1,1,0,1,1,1,0,0,1,1,1,1,1,0,0,1,2
201,,"2019-02-13 14:57:50",1,1,5,1,1,0,1,0,1,0,0,1,1,1,1,1,0,0,1,2
202,,"2019-02-13 13:40:07",1,1,2,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,2
203,,"2019-02-13 13:51:11",1,1,5,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1,2
204,,"2019-02-13 13:52:26",1,1,5,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1,2
205,,"2019-02-13 14:32:13",1,1,2,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,2
206,,"2019-02-13 15:04:39",1,1,5,1,1,0,1,1,1,1,0,1,0,1,1,0,0,0,1,2
207,,"2019-02-13 15:33:53",1,1,5,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1,2
208,,"2019-02-13 17:48:40",1,1,5,1,1,0,1,1,1,1,0,1,0,1,1,1,0,0,1,2
209,,"2019-02-13 19:10:12",1,2,5,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1,2
210,,"2019-02-13 22:20:58",1,2,5,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1,2
211,,"2019-02-13 23:39:50",1,1,5,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,2
212,,"2019-02-14 09:45:10",1,1,3,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1,2
213,,"2019-02-14 12:35:44",1,1,5,0,1,0,1,1,1,0,0,1,0,0,1,1,0,0,1,2
